SYMBOL,logFC
GABBR2,-1.59467431
GPR156,-0.664060088
MLN,1.291921709
MLNR,-2.71427641
NPB,0.730667893
NPBWR1,-0.486787868
NPBWR2,-0.611470834
PRLH,0.037578124
PRLHR,0.017695025
GRIN1,-0.968249636
GRIN2A,0.073492838
GRIN2B,0.126172895
GRIN2C,0.030993488
GRIN2D,-1.242984803
GRIN3A,-0.67274813
GRIN3B,-1.43289617
GABRA1,-3.079635347
GABRA2,1.0063869
GABRA3,-1.819887475
GABRA4,2.109123784
GABRA5,0.160130669
GABRA6,-0.12740366
GABRB1,-0.907133907
GABRB3,-0.235030084
GABRB2,-2.753691644
GABRD,-0.66458517
GABRG1,0.240311688
GABRG2,-1.087591411
GABRG3,0.542243101
GABRP,0.346539158
GABRR1,-0.550627794
GABRR2,-0.09333335
GABRR3,0.774822138
GABRQ,-1.757427737
CHRNA1,-0.216303995
CHRNA2,1.220153514
CHRNA3,0.63153671
CHRNA4,-1.215555276
CHRNA5,1.244163174
CHRNA6,-0.568528631
CHRNA9,-0.729799815
CHRNA10,1.664871667
CHRNB1,-0.516329924
CHRNB2,-0.218113281
CHRNB3,-1.787995491
CHRNB4,-1.400957277
CHRND,0.04751884
CHRNE,-1.00703995
CHRNG,1.771836515
P2RX1,1.3705053
P2RX2,-0.5803952
P2RX3,-0.112078061
P2RX4,0.155942869
P2RX5,-0.094862638
P2RX7,0.464966373
P2RX6,-1.314686826
CGA,-1.772721565
GRIA1,-0.483744663
GRIA2,-0.73283474
GRIA3,-0.897494575
GRIA4,-1.146084923
GRIK1,1.331696668
GRIK2,-0.504329843
GRIK3,0.444274117
GRIK4,1.178644707
GRIK5,-0.343609653
GRID1,-0.169922147
GRID2,0.000957986
GLRA1,-1.048605615
GLRA2,0.158207234
GLRA3,2.206386085
GLRB,-0.713310835
TSPO,1.990388845
NR3C1,-0.374322385
GH1,-1.113727482
GH2,-2.044158268
CSH1,0.368033198
GHR,0.330120427
THRA,0.508740289
THRB,0.618437349
LEP,2.301319869
LEPR,-0.004836728
PRL,1.536442755
PRL,1.536442755
